term	ia
GO:0000001	0.0
GO:0000002	3.748938235832282
GO:0000003	5.817623257511431
GO:0000011	0.0
GO:0000012	4.718818247455947
GO:0000017	0.0
GO:0000018	2.070389327891398
GO:0000019	4.7369655941662066
GO:0000022	0.0
GO:0000023	1.5849625007211563
GO:0000024	0.0
GO:0000025	0.0
GO:0000027	0.0
GO:0000028	0.0
GO:0000032	0.0
GO:0000038	2.6761103887793514
GO:0000041	2.706591945122687
GO:0000045	0.0
GO:0000050	0.0
GO:0000052	3.841302253980942
GO:0000053	0.0
GO:0000054	0.0
GO:0000055	0.3219280948873623
GO:0000056	0.3219280948873623
GO:0000070	0.0
GO:0000073	0.0
GO:0000075	0.030057233856179894
GO:0000076	3.584962500721156
GO:0000077	0.0
GO:0000079	0.0
GO:0000080	0.0
GO:0000082	0.047305714778356635
GO:0000083	0.6780719051126377
GO:0000084	0.0
GO:0000085	0.0
GO:0000086	0.0
GO:0000087	0.0
GO:0000088	0.0
GO:0000089	0.0
GO:0000090	0.0
GO:0000091	0.0
GO:0000092	0.0
GO:0000093	0.0
GO:0000096	1.7964666059148677
GO:0000097	0.0
GO:0000098	0.2630344058337938
GO:0000101	0.4854268271702417
GO:0000103	5.643856189774724
GO:0000105	0.0
GO:0000117	1.8073549220576042
GO:0000122	0.1342283917170739
GO:0000128	0.0
GO:0000132	0.06711419585853691
GO:0000147	0.0
GO:0000154	0.0
GO:0000160	9.087462841250339
GO:0000161	0.0
GO:0000162	0.0
GO:0000165	3.180572245641821
GO:0000183	0.0
GO:0000184	1.3370349872775709
GO:0000196	0.0
GO:0000209	1.0727563424353141
GO:0000212	0.0
GO:0000226	0.005454430092108088
GO:0000236	0.0
GO:0000237	0.0
GO:0000238	0.0
GO:0000239	0.0
GO:0000240	0.0
GO:0000241	0.0
GO:0000244	1.5849625007211563
GO:0000245	1.0524674198941355
GO:0000255	4.035623909730721
GO:0000256	0.0
GO:0000266	0.3219280948873623
GO:0000270	5.491853096329675
GO:0000271	0.0
GO:0000272	0.0
GO:0000278	0.5035741738805011
GO:0000279	0.0
GO:0000280	0.1674567458515627
GO:0000281	0.025995208532944573
GO:0000282	2.0
GO:0000288	0.12553088208385899
GO:0000289	1.4594316186372973
GO:0000290	0.0
GO:0000291	2.584962500721156
GO:0000292	6.523561956057013
GO:0000294	4.584962500721156
GO:0000296	1.0
GO:0000301	0.6374299206152917
GO:0000302	0.21150410519371174
GO:0000303	0.0
GO:0000304	5.906890595608519
GO:0000305	2.736965594166206
GO:0000316	3.1699250014423126
GO:0000320	8.754887502163468
GO:0000321	0.0
GO:0000335	0.0
GO:0000336	0.0
GO:0000337	0.0
GO:0000338	3.423211430724544
GO:0000348	4.754887502163468
GO:0000349	1.0
GO:0000350	1.0
GO:0000352	0.0
GO:0000353	0.0
GO:0000354	2.0
GO:0000365	7.098032082960526
GO:0000366	0.0
GO:0000372	0.0
GO:0000373	7.098032082960526
